ticker,sector,benchmark_weight,current_weight,alpha_annual,adv_usd,cost_bps,beta,size,value,momentum,quality,specific_vol_annual
AAPL,Technology,0.12,0.11,0.018,8500000000,4.0,1.08,-0.65,-0.25,0.55,0.65,0.19
MSFT,Technology,0.12,0.11,0.024,7200000000,4.0,0.98,-0.55,-0.10,0.40,0.90,0.17
NVDA,Technology,0.09,0.10,0.032,12000000000,5.0,1.55,-0.40,-0.55,1.20,0.35,0.34
JPM,Financials,0.08,0.09,0.010,2300000000,6.0,1.10,-0.15,0.55,0.15,0.20,0.22
GS,Financials,0.05,0.04,0.014,850000000,8.0,1.25,-0.35,0.35,0.35,0.15,0.27
JNJ,HealthCare,0.08,0.09,-0.004,1200000000,6.0,0.62,-0.05,0.30,-0.35,0.75,0.16
LLY,HealthCare,0.07,0.06,0.027,1800000000,7.0,0.72,-0.25,-0.65,0.85,0.70,0.24
XOM,Energy,0.08,0.07,0.006,2100000000,6.0,0.88,0.10,0.60,-0.15,0.10,0.23
CVX,Energy,0.05,0.06,0.004,1100000000,7.0,0.82,0.00,0.55,-0.25,0.25,0.21
AMZN,ConsumerDiscretionary,0.10,0.11,0.021,6500000000,5.0,1.18,-0.60,-0.35,0.70,0.30,0.25
GOOGL,CommunicationServices,0.09,0.08,0.016,4200000000,5.0,1.03,-0.50,-0.05,0.30,0.60,0.20
META,CommunicationServices,0.07,0.08,0.019,3900000000,6.0,1.12,-0.45,0.10,0.65,0.45,0.24

